date,gender,height,weight,rating,review_text
25.07.19.,남성,130cm,29kg,5,"키 약 130정도의 초등학교 2학년 학생이 타려고 샀는데
초딩이 타기에 큰거 아닌가 싶었는데
브레이크 손잡이를 위쪽으로 올려주었더니
아주아주 딱 맞게 잘탑니다"
25.07.18.,남성,140cm,40kg,5,"반조립인데 약간 손잡이가 틀어지거나 한건 있었습니다. 
들어있는 공구로 조정히면 됩니다"
25.07.18.,,,,5,빠른 배송 감사 합니다.
25.07.17.,남성,172cm,75kg,5,아이와 같이타기 좋습니다. 핸들과 안장 조절만하면 초딩 자녀도 가능하고 주말에는 제가 장거리 운동용으로 이용합니다. 가볍기도해서 좋습니다.
25.07.16.,남성,174cm,74kg,5,와이프가 타는데 이쁘고 잘 나가요~  아이들도 타기 적당하네요
25.07.16.,남성,174cm,74kg,5,자전거 잘 달리고 이뻐요
25.07.16.,,,,5,차에 로드넣기가 힘들어서 접이식으로 저렴히사보네요 고장없이 잘썼으면 좋겠어요 색감은 이쁘네요 완조립인데 잘된거맞겠죠
25.07.16.,여성,155cm,42kg,5,아이가 밤마다 운동삼아 잘타니 사준 보람이 있네요~
25.07.15.,남성,170cm,68kg,5,생각보다 편하고 좋네요. 잘 타고 있습니다~
25.07.15.,,,,5,가격대비 좋은 품질 딱 좋아요!
25.07.14.,남성,174cm,88kg,5,"출퇴근 하려고 샀는데 맨날 공유자전거 타다가 이거 타니까 승차감도 좋고 집 to 사무실까지 가기 편해요 집,사무실 둘다 실내에 보관 할 수 있어 좋네요
근데 보내주신 상품 중에 빨간색 반사 후미등 부착은 안장 목에 부착 위치를 알겠는데 흰색 반사등은 어디에 부착해야 하는건가요?"
25.07.14.,여성,145cm,37kg,5,잘  타고   있어요
25.07.14.,,,,5,"아이랑 타려고 샀어요, 가성비최고"
25.07.13.,,,,5,아침에 간단히 운동하기 좋네요
25.07.13.,남성,170cm,70kg,5,"만족해요 
잘타고 있습니다"
25.07.13.,,,,5,잘받았습니다 감사합니다
25.07.12.,,,,5,디자인이 넘 예뻐여
